width,wavelength,efficiency
3.5,1.024999976158142,0.13453201949596405
3.5,1.0251009464263916,0.1054263710975647
3.5,1.0252019166946411,0.0711837112903595
3.5,1.0253030061721802,0.039333585649728775
3.5,1.0254039764404297,0.014925370924174786
3.5,1.0255050659179688,0.0018661994254216552
3.5,1.0256060361862183,0.0011010884772986174
3.5,1.0257070064544678,0.011056570336222649
3.5,1.0258080959320068,0.02822682075202465
3.5,1.0259090662002563,0.04774535074830055
3.5,1.0260100364685059,0.06512504816055298
3.5,1.026111125946045,0.07636066526174545
3.5,1.0262120962142944,0.0792149007320404
3.5,1.026313066482544,0.07362085580825806
3.5,1.026414155960083,0.0608699806034565
3.5,1.0265151262283325,0.04417578876018524
3.5,1.026616096496582,0.02684902213513851
3.5,1.026717185974121,0.011960659176111221
3.5,1.0268181562423706,0.0027154255658388138
3.5,1.0269191265106201,4.4197724491823465e-05
3.5,1.0270202159881592,0.0037679218221455812
3.5,1.0271211862564087,0.012627141550183296
3.5,1.0272221565246582,0.02406545914709568
3.5,1.0273232460021973,0.035279929637908936
3.5,1.0274242162704468,0.043942876160144806
3.5,1.0275251865386963,0.04801620543003082
3.5,1.0276262760162354,0.04691798612475395
3.5,1.0277272462844849,0.041096724569797516
3.5,1.0278282165527344,0.031668614596128464
3.5,1.0279293060302734,0.021014433354139328
3.5,1.028030276298523,0.010962799191474915
3.5,1.0281312465667725,0.00363549473695457
3.5,1.0282323360443115,0.00020426028640940785
3.5,1.0283331871032715,0.001010226085782051
3.5,1.0284342765808105,0.005468081217259169
3.5,1.0285353660583496,0.01250588707625866
3.5,1.0286363363265991,0.020221667364239693
3.5,1.0287373065948486,0.027016328647732735
3.5,1.0288383960723877,0.031372226774692535
3.5,1.0289393663406372,0.03241609036922455
3.5,1.0290403366088867,0.030066225677728653
3.5,1.0291414260864258,0.024881061166524887
3.5,1.0292423963546753,0.017990903928875923
3.5,1.0293433666229248,0.010770095512270927
3.5,1.0294444561004639,0.004743816796690226
3.5,1.0295453071594238,0.0009547101217322052
3.5,1.029646396636963,5.693402636097744e-05
3.5,1.029747486114502,0.001996314385905862
3.5,1.0298484563827515,0.006103278137743473
3.5,1.029949426651001,0.011563863605260849
3.5,1.03005051612854,0.016899473965168
3.5,1.0301514863967896,0.02107447013258934
3.5,1.030252456665039,0.023254210129380226
3.5,1.0303534269332886,0.02294936217367649
3.5,1.030454397201538,0.020339705049991608
3.5,1.0305554866790771,0.01596260815858841
3.5,1.0306565761566162,0.010720418766140938
3.5,1.0307575464248657,0.005852810572832823
3.5,1.0308585166931152,0.0020860873628407717
3.5,1.0309594869613647,0.00017125351587310433
3.5,1.0310604572296143,0.0003995564766228199
3.5,1.0311615467071533,0.0026333497371524572
3.5,1.0312626361846924,0.00613590981811285
3.5,1.031363606452942,0.010301461443305016
3.5,1.0314645767211914,0.014046961441636086
3.5,1.031565546989441,0.016719698905944824
3.5,1.0316665172576904,0.01772226393222809
3.5,1.0317676067352295,0.016874928027391434
3.5,1.0318686962127686,0.014365013688802719
3.5,1.031969666481018,0.010824533179402351
3.5,1.0320706367492676,0.0068701086565852165
3.5,1.032171607017517,0.0033382149413228035
3.5,1.0322725772857666,0.000905766268260777
3.5,1.0323736667633057,2.3684967800363665e-06
3.5,1.0324747562408447,0.0007074206951074302
3.5,1.0325757265090942,0.0027573786210268736
3.5,1.0326766967773438,0.005771834868937731
3.5,1.0327776670455933,0.009001605212688446
3.5,1.0328786373138428,0.011719509959220886
3.5,1.0329797267913818,0.013478185050189495
3.5,1.0330806970596313,0.013866182416677475
3.5,1.0331817865371704,0.012842265889048576
3.5,1.03328275680542,0.010615196079015732
3.5,1.0333837270736694,0.007680139970034361
3.5,1.033484697341919,0.004661845043301582
3.5,1.033585786819458,0.002065319335088134
3.5,1.0336867570877075,0.00042546261101961136
3.5,1.0337878465652466,2.3725981009192765e-05
3.5,1.033888816833496,0.0008626457420177758
3.5,1.0339897871017456,0.0027232700958848
3.5,1.0340907573699951,0.00522184744477272
3.5,1.0341918468475342,0.007752692326903343
3.5,1.0342928171157837,0.009812116622924805
3.5,1.0343939065933228,0.011020413599908352
3.5,1.0344948768615723,0.01111428253352642
3.5,1.0345958471298218,0.01010388694703579
3.5,1.0346969366073608,0.00820192415267229
3.5,1.0347980260849,0.005815593060106039
3.5,1.0348989963531494,0.003352252533659339
3.5,1.034999966621399,0.0013870891416445374
3.5020201206207275,1.024999976158142,0.15474790334701538
3.5020201206207275,1.0251009464263916,0.15131308138370514
3.5020201206207275,1.0252019166946411,0.13209865987300873
3.5020201206207275,1.0253030061721802,0.10242138803005219
3.5020201206207275,1.0254039764404297,0.06828571110963821
3.5020201206207275,1.0255050659179688,0.036659859120845795
3.5020201206207275,1.0256060361862183,0.013429637998342514
3.5020201206207275,1.0257070064544678,0.0013533153105527163
3.5020201206207275,1.0258080959320068,0.0016362924361601472
3.5020201206207275,1.0259090662002563,0.01239150669425726
3.5020201206207275,1.0260100364685059,0.03003401681780815
3.5020201206207275,1.026111125946045,0.04972711578011513
3.5020201206207275,1.0262120962142944,0.06671088188886642
3.5020201206207275,1.026313066482544,0.07709454745054245
3.5020201206207275,1.026414155960083,0.07928285002708435
3.5020201206207275,1.0265151262283325,0.0729931890964508
3.5020201206207275,1.026616096496582,0.059947334229946136
3.5020201206207275,1.026717185974121,0.04266200587153435
3.5020201206207275,1.0268181562423706,0.02540287747979164
3.5020201206207275,1.0269191265106201,0.010963423177599907
3.5020201206207275,1.0270202159881592,0.002305420581251383
3.5020201206207275,1.0271211862564087,0.00011569485650397837
3.5020201206207275,1.0272221565246582,0.004410712514072657
3.5020201206207275,1.0273232460021973,0.013494790531694889
